,BaseLoad,P_EV,P_WB
2024-01-06 11:00:00,0.349954212274499,0.0,0.0
2024-01-06 11:15:00,0.056666666666666664,2.8,0.2
2024-01-06 11:30:00,0.044,0.0,3.0
2024-01-06 11:45:00,0.044,0.0,0.6
2024-01-06 12:00:00,0.044,0.0,0.0
2024-01-06 12:15:00,0.113,0.0,0.0
2024-01-06 12:30:00,0.389,0.0,0.0
2024-01-06 12:45:00,0.113,0.0,0.0
2024-01-06 13:00:00,0.044,0.0,0.0
2024-01-06 13:15:00,0.044,0.0,0.0
2024-01-06 13:30:00,0.044,0.0,0.0
2024-01-06 13:45:00,0.056666666666666664,0.0,0.6
2024-01-06 14:00:00,0.3373333333333334,0.0,3.0
2024-01-06 14:15:00,0.26940000000000003,0.0,0.0
2024-01-06 14:30:00,0.165,0.0,0.0
2024-01-06 14:45:00,0.1720942454236041,0.0,0.0
2024-01-06 15:00:00,0.17682374237267354,0.0,2.4
2024-01-06 15:15:00,0.1284237423726735,0.0,2.2
2024-01-06 15:30:00,0.2598904090393402,0.0,3.0
2024-01-06 15:45:00,0.31249040903934017,0.0,0.8
2024-01-06 16:00:00,0.10779232723147213,0.0,1.6
2024-01-06 16:15:00,0.057,0.0,2.2
2024-01-06 16:30:00,0.047466666666666664,0.0,0.0
2024-01-06 16:45:00,0.044,0.0,0.0
2024-01-06 17:00:00,0.196,0.0,2.0
2024-01-06 17:15:00,0.5175333333333333,0.0,2.2
2024-01-06 17:30:00,1.5161333333333333,0.0,0.0
2024-01-06 17:45:00,1.292,0.0,1.6
2024-01-06 18:00:00,0.9591999999999999,0.0,2.2
2024-01-06 18:15:00,0.44380000000000003,5.6,1.2
2024-01-06 18:30:00,0.17066666666666666,2.3333333333333335,2.2
2024-01-06 18:45:00,0.19366666666666668,0.0,0.0
2024-01-06 19:00:00,0.2456437728039162,0.0,0.0
2024-01-06 19:15:00,0.24821886401958093,0.0,0.0
2024-01-06 19:30:00,0.20522294175954153,0.0,1.6
2024-01-06 19:45:00,0.2971092730589211,0.0,2.8
2024-01-06 20:00:00,0.4307092730589211,0.0,0.0
2024-01-06 20:15:00,0.4838724599020601,0.0,0.0
2024-01-06 20:30:00,0.2721112879805059,0.0,0.0
