,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-06 18:15:00,0.0,0.001,0.06782374237267351,0.0
2024-01-06 18:30:00,0.0,0.1481101721312174,0.20202374237267354,0.0
2024-01-06 18:45:00,0.0,0.4300445279238899,0.2988237423726735,0.0
2024-01-06 19:00:00,0.0,0.663232898700175,0.6248863312993795,0.0
2024-01-06 19:15:00,0.0,0.14419002230744984,0.46792314445624056,0.0
2024-01-06 19:30:00,0.0,0.29652354140320536,0.2526426063922545,0.0
2024-01-06 19:45:00,0.0,1.296082042536148,0.38770927305892106,0.0
2024-01-06 20:00:00,0.0,0.3347254971841325,0.45237593972558776,0.0
2024-01-06 20:15:00,0.0,0.10695473016285469,0.28237186198562725,0.0
2024-01-06 20:30:00,0.0,0.306670447376543,0.4274487175293867,0.0
2024-01-06 20:45:00,0.0,0.09351011665238641,0.5902049447254705,0.0
2024-01-06 21:00:00,0.0,0.001,0.8374502791607824,0.0
2024-01-06 21:15:00,0.0,0.001,0.5510292730589211,0.0
2024-01-06 21:30:00,0.0,0.001,0.5220426063922544,0.0
2024-01-06 21:45:00,0.0,0.001,0.5313092730589211,0.0
2024-01-06 22:00:00,0.0,0.001,0.37759797584062177,0.0
2024-01-06 22:15:00,0.0,0.001,0.450118864019581,0.0
2024-01-06 22:30:00,0.0,0.001,0.46774644277651845,0.0
2024-01-06 22:45:00,0.0,0.001,0.5902759397255878,0.0
2024-01-06 23:00:00,0.0,0.001,0.6117426063922545,0.0
2024-01-06 23:15:00,0.0,0.001,0.7192023134118659,0.0
2024-01-06 23:30:00,0.0,0.001,0.4182166859961655,0.0
2024-01-06 23:45:00,0.0,0.001,0.36625219735291437,0.0
2024-01-07 00:00:00,0.0,0.001,0.4597699437934953,0.0
2024-01-07 00:15:00,0.0,0.001,0.2504759397255878,0.0
2024-01-07 00:30:00,0.0,0.001,0.37440927305892113,0.0
2024-01-07 00:45:00,0.0,0.001,0.2730759397255878,0.0
2024-01-07 01:00:00,0.0,0.001,0.20983418184325633,0.0
2024-01-07 01:15:00,0.0,0.001,0.30461391005631705,0.0
2024-01-07 01:30:00,0.0,0.001,0.22836666666666663,0.0
2024-01-07 01:45:00,0.0,0.001,0.26769999999999994,0.0
2024-01-07 02:00:00,0.0,0.001,0.29303333333333337,0.0
2024-01-07 02:15:00,0.0,0.001,0.7247666666666664,0.0
2024-01-07 02:30:00,0.0,0.001,0.2731,0.0
2024-01-07 02:45:00,0.0,0.001,0.9117666666666665,0.0
2024-01-07 03:00:00,0.0,0.001,0.32536666666666664,0.0
2024-01-07 03:15:00,0.0,0.001,0.3507133333333333,0.0
2024-01-07 03:30:00,0.0,0.001,0.177,0.0
2024-01-07 03:45:00,0.0,0.001,0.16453333333333334,0.0
2024-01-07 04:00:00,0.0,0.001,0.15133333333333335,0.0
2024-01-07 04:15:00,0.0,0.001,0.056,0.0
2024-01-07 04:30:00,0.0,0.001,0.19533333333333333,0.0
2024-01-07 04:45:00,0.0,0.001,0.094,0.0
2024-01-07 05:00:00,0.0,0.001,0.07066666666666667,0.0
2024-01-07 05:15:00,0.0,0.001,0.166,0.0
2024-01-07 05:30:00,0.0,0.001,0.07066666666666667,0.0
2024-01-07 05:45:00,0.0,0.001,0.132,0.0
2024-01-07 06:00:00,0.0,0.001,0.15733333333333333,0.0
2024-01-07 06:15:00,0.0,0.001,0.45580000000000004,0.0
2024-01-07 06:30:00,0.0,0.001,0.15133333333333335,0.0
2024-01-07 06:45:00,0.0,0.001,0.1047294969490694,0.0
2024-01-07 07:00:00,0.0,0.001,0.08049040903934017,11.0
2024-01-07 07:15:00,0.0,0.001,0.23249040903934018,15.0
2024-01-07 07:30:00,0.0,0.001,0.06782374237267351,2.0
2024-01-07 07:45:00,0.0,0.001,0.13382374237267353,0.0
2024-01-07 08:00:00,0.0,0.001,0.13879232723147214,0.0
2024-01-07 08:15:00,0.0,0.001,0.056,0.0
2024-01-07 08:30:00,0.0,0.001,0.20374725262744378,0.0
2024-01-07 08:45:00,0.0,0.001,0.12555219735291429,0.0
2024-01-07 09:00:00,0.0,0.001,0.12421886401958097,0.0
2024-01-07 09:15:00,0.0,0.001,0.19108553068624762,0.0
2024-01-07 09:30:00,0.0,0.001,0.1005521973529143,0.0
2024-01-07 09:45:00,0.0,0.001,0.23987886401958097,0.0
2024-01-07 10:00:00,0.0,0.001,0.3060333333333333,0.0
2024-01-07 10:15:00,0.0,0.001,0.6875,0.0
2024-01-07 10:30:00,0.0,0.001,2.7007,0.0
2024-01-07 10:45:00,0.0,0.001,0.3736333333333333,0.0
2024-01-07 11:00:00,0.0,0.001,0.20436666666666664,0.0
2024-01-07 11:15:00,0.0,0.001,0.3563666666666666,0.0
2024-01-07 11:30:00,0.0,0.001,0.19169999999999998,0.0
2024-01-07 11:45:00,0.0,0.001,0.27969999999999995,0.0
2024-01-07 12:00:00,0.0,0.001,0.24303333333333332,0.0
2024-01-07 12:15:00,0.0,0.001,0.19169999999999998,0.0
2024-01-07 12:30:00,0.0,0.001,0.3310333333333333,0.0
2024-01-07 12:45:00,0.0,0.001,0.22969999999999996,0.0
2024-01-07 13:00:00,0.0,0.001,0.2503666666666666,0.0
2024-01-07 13:15:00,0.0,0.001,0.27236666666666665,0.0
2024-01-07 13:30:00,0.0,0.001,0.19169999999999998,0.0
2024-01-07 13:45:00,0.0,0.001,0.26769999999999994,0.0
2024-01-07 14:00:00,0.0,0.001,0.29303333333333337,0.0
2024-01-07 14:15:00,0.0,0.001,0.2210333333333333,0.0
