,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-08-01 20:44:00,1.0,20.0,22.6902210102249,22.345063788055988,25.10333,0.3258480176488709
2024-08-01 20:45:00,1.0,20.0,22.689927609185734,22.346426716142556,25.10333,0.3258480176488709
2024-08-01 20:46:00,1.0,20.0,22.68963606597494,22.34778727568006,25.10333,0.3258480176488709
2024-08-01 20:47:00,1.0,20.0,22.689346375809958,22.349145472322494,25.10333,0.3258480176488709
2024-08-01 20:48:00,1.0,20.0,22.689058533920047,22.350501311709962,25.10333,0.3258480176488709
2024-08-01 20:49:00,1.0,20.0,22.688772535546253,22.35185479946871,25.10333,0.3258480176488709
2024-08-01 20:50:00,2.0,15.0,22.688488375941382,22.353205941211158,25.10333,0.3258480176488709
2024-08-01 20:51:00,2.0,15.0,22.688206050369974,22.35455474253593,25.10333,0.3258480176488709
2024-08-01 20:52:00,2.0,15.0,22.687925554108265,22.355901209027902,25.10333,0.3258480176488709
2024-08-01 20:53:00,2.0,15.0,22.687646882444163,22.357245346258217,25.10333,0.3258480176488709
2024-08-01 20:54:00,2.0,15.0,22.687370030677222,22.358587159784335,25.10333,0.3258480176488709
2024-08-01 20:55:00,2.0,15.0,22.687094994118613,22.359926655150062,25.10333,0.3258480176488709
2024-08-01 20:56:00,2.0,15.0,22.686821768091093,22.361263837885577,25.10333,0.3258480176488709
2024-08-01 20:57:00,2.0,15.0,22.686550347928975,22.36259871350747,25.10333,0.3258480176488709
2024-08-01 20:58:00,2.0,15.0,22.686280728978097,22.36393128751878,25.10333,0.3258480176488709
2024-08-01 20:59:00,2.0,15.0,22.68601290659581,22.365261565409025,25.10333,0.3258480176488709
2024-08-01 21:00:00,2.0,15.0,22.685746876150926,22.366589552654226,22.87,0.3258480176488709
2024-08-01 21:01:00,1.0,20.0,22.685398015175263,22.367130550858786,22.87,0.3258480176488709
2024-08-01 21:02:00,1.0,20.0,22.685050159559324,22.367670343756902,22.87,0.3258480176488709
2024-08-01 21:03:00,1.0,20.0,22.684703306800255,22.368208934294174,22.87,0.3258480176488709
2024-08-01 21:04:00,1.0,20.0,22.684357454401365,22.368746325408946,22.87,0.3258480176488709
2024-08-01 21:05:00,1.0,20.0,22.68401259987212,22.369282520032332,22.87,0.3258480176488709
2024-08-01 21:06:00,1.0,20.0,22.683668740728123,22.369817521088233,22.87,0.3258480176488709
2024-08-01 21:07:00,1.0,20.0,22.68332587449111,22.37035133149335,22.87,0.3258480176488709
2024-08-01 21:08:00,1.0,20.0,22.682983998688915,22.370883954157204,22.87,0.3258480176488709
2024-08-01 21:09:00,1.0,20.0,22.682643110855473,22.371415391982154,22.87,0.3258480176488709
2024-08-01 21:10:00,1.0,20.0,22.682303208530794,22.371945647863416,22.87,0.3258480176488709
2024-08-01 21:11:00,1.0,20.0,22.681964289260954,22.372474724689077,22.87,0.3258480176488709
2024-08-01 21:12:00,1.0,20.0,22.681626350598076,22.373002625340114,22.87,0.3258480176488709
