,WasherDryer,TumbleDryer,BaseLoad
2024-01-04 12:30:00,0.001,0.001,0.19315899389813881
2024-01-04 12:45:00,0.001,0.001,0.1955237423726735
2024-01-04 13:00:00,0.001,0.001,0.2439237423726735
2024-01-04 13:15:00,0.001,0.001,0.39719040903934016
2024-01-04 13:30:00,0.001,0.001,0.39719040903934016
2024-01-04 13:45:00,0.001,0.001,0.3165237423726735
2024-01-04 14:00:00,0.001,0.001,0.9544726625987592
2024-01-04 14:15:00,0.001,0.001,2.1915666666666667
2024-01-04 14:30:00,0.001,0.001,2.4499
2024-01-04 14:45:00,0.001,0.001,0.20789333333333332
2024-01-04 15:00:00,0.001,0.001,0.19833333333333333
2024-01-04 15:15:00,0.001,0.001,0.16986666666666667
2024-01-04 15:30:00,0.001,0.001,0.182
2024-01-04 15:45:00,0.001,0.001,0.182
2024-01-04 16:00:00,0.001,0.001,0.5818
2024-01-04 16:15:00,0.001,0.001,1.1364533333333333
2024-01-04 16:30:00,0.001,0.001,0.29473333333333335
2024-01-04 16:45:00,0.001,0.001,0.12256666666666667
2024-01-04 17:00:00,0.001,0.001,0.2482333333333333
2024-01-04 17:15:00,0.001,0.001,0.3046999999999999
2024-01-04 17:30:00,0.001,0.001,0.3046999999999999
2024-01-04 17:45:00,0.001,0.001,0.3046999999999999
2024-01-04 18:00:00,0.001,0.001,0.40736666666666665
2024-01-04 18:15:00,0.001,0.001,0.3149666666666667
2024-01-04 18:30:00,0.001,0.001,0.1837
2024-01-04 18:45:00,0.001,0.001,0.1837
2024-01-04 19:00:00,0.001,0.001,0.1837
2024-01-04 19:15:00,0.001,0.001,0.1837
2024-01-04 19:30:00,0.001,0.001,0.25703333333333334
2024-01-04 19:45:00,0.001,0.001,0.2717
2024-01-04 20:00:00,0.001,0.001,0.1837
2024-01-04 20:15:00,0.001,0.001,0.1837
2024-01-04 20:30:00,0.001,0.001,0.1837
2024-01-04 20:45:00,0.001,0.001,0.1837
2024-01-04 21:00:00,0.001,0.001,0.22769999999999999
2024-01-04 21:15:00,0.001,0.001,0.29369999999999996
2024-01-04 21:30:00,0.001,0.001,0.17294
2024-01-04 21:45:00,0.001,0.001,0.048
2024-01-04 22:00:00,0.001,0.001,0.048
2024-01-04 22:15:00,0.001,0.001,0.048
2024-01-04 22:30:00,0.001,0.001,0.06266666666666668
2024-01-04 22:45:00,0.001,0.001,0.158
2024-01-04 23:00:00,0.001,0.001,0.08466666666666667
2024-01-04 23:15:00,0.001,0.001,0.09640000000000001
2024-01-04 23:30:00,0.001,0.001,0.1742
2024-01-04 23:45:00,0.001,0.001,0.182
2024-01-05 00:00:00,0.001,0.001,0.182
2024-01-05 00:15:00,0.001,0.001,0.2773333333333333
2024-01-05 00:30:00,0.001,0.001,0.21600000000000003
2024-01-05 00:45:00,0.001,0.001,0.048
2024-01-05 01:00:00,0.001,0.001,0.048
2024-01-05 01:15:00,0.001,0.001,0.048
2024-01-05 01:30:00,0.001,0.001,0.048
2024-01-05 01:45:00,0.001,0.001,0.114
2024-01-05 02:00:00,0.001,0.001,0.14333333333333334
2024-01-05 02:15:00,0.001,0.001,0.048
2024-01-05 02:30:00,0.001,0.001,0.44780000000000003
2024-01-05 02:45:00,0.001,0.001,0.048
2024-01-05 03:00:00,0.001,0.001,0.44780000000000003
2024-01-05 03:15:00,0.001,0.001,0.08466666666666667
2024-01-05 03:30:00,0.001,0.001,0.2912666666666667
2024-01-05 03:45:00,0.001,0.001,0.3292
2024-01-05 04:00:00,0.001,0.001,0.7143333333333334
2024-01-05 04:15:00,0.001,0.001,0.1812666666666667
2024-01-05 04:30:00,0.001,0.001,0.048
2024-01-05 04:45:00,0.001,0.001,0.05533333333333334
2024-01-05 05:00:00,0.001,0.001,0.6910666666666666
2024-01-05 05:15:00,0.001,0.001,0.09200000000000001
2024-01-05 05:30:00,0.001,0.001,0.048
2024-01-05 05:45:00,0.001,0.001,0.5810666666666667
2024-01-05 06:00:00,0.001,0.001,0.048
2024-01-05 06:15:00,0.001,0.001,0.048
2024-01-05 06:30:00,0.001,0.001,0.136
2024-01-05 06:45:00,0.001,0.001,0.6544000000000001
2024-01-05 07:00:00,0.001,0.001,0.048
2024-01-05 07:15:00,0.001,0.001,0.048
2024-01-05 07:30:00,0.001,0.001,0.5810666666666667
2024-01-05 07:45:00,0.001,0.001,0.44780000000000003
2024-01-05 08:00:00,0.001,0.001,0.11139616361573607
2024-01-05 08:15:00,0.001,0.001,0.16249040903934017
2024-01-05 08:30:00,0.001,0.001,0.0598237423726735
2024-01-05 08:45:00,0.001,0.001,0.06069040903934017
2024-01-05 09:00:00,0.001,0.001,0.0633647484745347
2024-01-05 09:15:00,0.001,0.001,0.061000000000000006
2024-01-05 09:30:00,0.001,0.001,0.09033333333333333
2024-01-05 09:45:00,0.001,0.001,0.171
2024-01-05 10:00:00,0.001,0.001,0.07
2024-01-05 10:15:00,0.001,0.001,0.048
2024-01-05 10:30:00,0.001,0.001,0.048
2024-01-05 10:45:00,0.001,0.001,0.44780000000000003
2024-01-05 11:00:00,0.001,0.001,0.05146666666666667
2024-01-05 11:15:00,0.001,0.001,0.171
2024-01-05 11:30:00,0.001,0.001,0.20106666666666667
2024-01-05 11:45:00,0.001,0.001,0.182
2024-01-05 12:00:00,0.001,0.001,0.18113333333333334
2024-01-05 12:15:00,0.001,0.001,0.17939999999999998
2024-01-05 12:30:00,0.001,0.001,0.182
