,TumbleDryer,BaseLoad,P_EV
2024-01-06 08:30:00,0.001,0.2448,0.0
2024-01-06 08:45:00,0.001,0.11066666666666666,0.0
2024-01-06 09:00:00,0.001,0.5933333333333334,0.0
2024-01-06 09:15:00,0.001,2.06,0.0
2024-01-06 09:30:00,0.001,0.4688666666666667,0.0
2024-01-06 09:45:00,0.001,0.3332,0.0
2024-01-06 10:00:00,0.001,0.7068,2.8
2024-01-06 10:15:00,0.001,0.6840666666666666,4.666666666666667
2024-01-06 10:30:00,0.001,0.10246666666666666,0.0
2024-01-06 10:45:00,0.001,0.2391333333333333,0.0
2024-01-06 11:00:00,0.001,0.3857,0.0
2024-01-06 11:15:00,0.001,0.1905,0.0
2024-01-06 11:30:00,0.001,0.21214871752938666,0.0
2024-01-06 11:45:00,0.001,0.2142521973529143,3.7333333333333334
2024-01-06 12:00:00,0.001,2.087518864019581,0.0
2024-01-06 12:15:00,0.001,1.6583855306862474,0.0
2024-01-06 12:30:00,0.001,0.2142521973529143,0.0
2024-01-06 12:45:00,0.001,0.7448681315686094,0.0
2024-01-06 13:00:00,0.001,0.34928205086272,0.0
2024-01-06 13:15:00,0.001,1.5530521973529143,0.0
2024-01-06 13:30:00,0.001,2.717585530686248,0.0
2024-01-06 13:45:00,0.001,2.121052197352914,0.0
2024-01-06 14:00:00,0.001,0.3850611719215543,0.0
2024-01-06 14:15:00,0.001,0.3765,0.0
2024-01-06 14:30:00,0.001,0.5593666666666667,0.0
2024-01-06 14:45:00,0.001,0.8520333333333333,0.0
2024-01-06 15:00:00,0.001,0.37056666666666666,0.0
2024-01-06 15:15:00,0.001,0.2600294969490694,0.0
2024-01-06 15:30:00,0.001,0.3155237423726735,0.0
2024-01-06 15:45:00,0.001,0.5055237423726735,0.0
2024-01-06 16:00:00,0.001,0.7656904090393402,2.8
2024-01-06 16:15:00,0.001,0.7598759397255878,7.0
2024-01-06 16:30:00,0.001,0.27546802560136335,6.533333333333333
2024-01-06 16:45:00,0.001,0.26871886401958095,0.0
2024-01-06 17:00:00,0.001,0.6592521973529143,0.0
2024-01-06 17:15:00,0.001,1.0656521973529143,0.0
2024-01-06 17:30:00,0.001,0.46925219735291435,0.0
2024-01-06 17:45:00,0.001,0.4779229417595416,0.0
2024-01-06 18:00:00,0.001,0.47840927305892117,3.2666666666666666
2024-01-06 18:15:00,0.001,0.5286620204314773,0.0
2024-01-06 18:30:00,0.001,0.9128861286026806,0.0
2024-01-06 18:45:00,0.001,0.42398553068624767,0.0
2024-01-06 19:00:00,0.001,0.46728769023407624,0.0
2024-01-06 19:15:00,0.001,0.47954260639225443,0.0
2024-01-06 19:30:00,0.001,0.5552759397255878,0.0
2024-01-06 19:45:00,0.001,0.43812172745108874,0.0
2024-01-06 20:00:00,0.001,0.46227593972558784,0.0
2024-01-06 20:15:00,0.001,0.5574994407425646,0.0
2024-01-06 20:30:00,0.001,0.5631032771268285,0.0
2024-01-06 20:45:00,0.001,0.645409273058921,0.0
2024-01-06 21:00:00,0.001,0.4680759397255878,0.0
2024-01-06 21:15:00,0.001,0.4680759397255878,0.0
2024-01-06 21:30:00,0.001,0.47674260639225446,0.0
2024-01-06 21:45:00,0.001,0.5198686870981439,0.0
2024-01-06 22:00:00,0.001,0.3708581932850068,0.0
2024-01-06 22:15:00,0.001,0.6097521973529143,0.0
