,DishWasher,BaseLoad,P_EV
2024-01-09 12:30:00,0.0,0.06199999999999999,0.0
2024-01-09 12:45:00,0.0,0.04,0.0
2024-01-09 13:00:00,0.0,0.04,0.0
2024-01-09 13:15:00,0.0,0.04,0.0
2024-01-09 13:30:00,0.0,0.06933333333333333,3.7333333333333334
2024-01-09 13:45:00,0.0,0.13533333333333333,1.8666666666666667
2024-01-09 14:00:00,0.0,0.04,0.0
2024-01-09 14:15:00,0.0,0.04,0.0
2024-01-09 14:30:00,0.0,0.04,0.0
2024-01-09 14:45:00,0.0,0.04,0.0
2024-01-09 15:00:00,0.0,0.106,0.0
2024-01-09 15:15:00,0.0,0.09866666666666667,0.0
2024-01-09 15:30:00,0.0,0.04,0.0
2024-01-09 15:45:00,0.0,0.04,0.0
2024-01-09 16:00:00,0.0,0.04,0.0
2024-01-09 16:15:00,0.0,0.04,0.0
2024-01-09 16:30:00,0.0,0.14266666666666666,0.0
2024-01-09 16:45:00,0.0,0.06199999999999999,0.0
2024-01-09 17:00:00,0.0,0.04,0.0
2024-01-09 17:15:00,0.0,0.04,0.0
2024-01-09 17:30:00,0.0,0.04,0.0
2024-01-09 17:45:00,0.0,0.06933333333333333,0.0
2024-01-09 18:00:00,0.0,0.13533333333333333,0.0
2024-01-09 18:15:00,0.0,0.04,0.0
2024-01-09 18:30:00,0.0,0.04,0.0
2024-01-09 18:45:00,0.0,0.04,0.0
2024-01-09 19:00:00,0.0,0.04,0.0
2024-01-09 19:15:00,0.0,0.106,0.0
2024-01-09 19:30:00,0.0,0.09866666666666667,0.0
2024-01-09 19:45:00,0.0,0.04,0.0
2024-01-09 20:00:00,0.0,0.04,0.0
2024-01-09 20:15:00,0.0,0.04,0.0
2024-01-09 20:30:00,0.0,0.04,0.0
2024-01-09 20:45:00,0.0,0.14266666666666666,0.0
2024-01-09 21:00:00,0.0,0.06199999999999999,0.0
2024-01-09 21:15:00,0.0,0.04,0.0
2024-01-09 21:30:00,0.0,0.04,0.0
2024-01-09 21:45:00,0.0,0.04,0.0
2024-01-09 22:00:00,0.0,0.06933333333333333,0.0
2024-01-09 22:15:00,0.0,0.13533333333333333,0.0
2024-01-09 22:30:00,0.0,0.04,0.0
2024-01-09 22:45:00,0.0,0.04,0.0
2024-01-09 23:00:00,0.0,0.04,0.0
2024-01-09 23:15:00,0.0,0.04,0.0
2024-01-09 23:30:00,0.0,0.106,0.0
2024-01-09 23:45:00,0.0,0.09866666666666667,0.0
2024-01-10 00:00:00,0.0,0.04,0.0
2024-01-10 00:15:00,0.0,0.04,0.0
2024-01-10 00:30:00,0.0,0.04,0.0
2024-01-10 00:45:00,0.0,0.04,0.0
2024-01-10 01:00:00,0.0,0.14266666666666666,0.0
2024-01-10 01:15:00,0.0,0.06199999999999999,0.0
2024-01-10 01:30:00,0.0,0.04,0.0
2024-01-10 01:45:00,0.0,0.04,0.0
2024-01-10 02:00:00,0.0,0.04,0.0
2024-01-10 02:15:00,0.0,0.06933333333333333,0.0
2024-01-10 02:30:00,0.0,0.13533333333333333,0.0
2024-01-10 02:45:00,0.0,0.04,0.0
2024-01-10 03:00:00,0.0,0.04,0.0
2024-01-10 03:15:00,0.0,0.04,0.0
2024-01-10 03:30:00,0.0,0.04,0.0
2024-01-10 03:45:00,0.0,0.106,0.0
2024-01-10 04:00:00,0.0,0.09866666666666667,0.0
2024-01-10 04:15:00,0.0,0.04,0.0
2024-01-10 04:30:00,0.0,0.04,0.0
2024-01-10 04:45:00,0.0,0.04,0.0
2024-01-10 05:00:00,0.0,0.04,0.0
2024-01-10 05:15:00,0.0,0.14266666666666666,0.0
2024-01-10 05:30:00,0.0,0.06199999999999999,0.0
2024-01-10 05:45:00,0.0,0.04,0.0
2024-01-10 06:00:00,0.0,0.04,0.0
2024-01-10 06:15:00,0.0,0.04,0.0
2024-01-10 06:30:00,0.0,0.06933333333333333,0.0
2024-01-10 06:45:00,0.0,0.13533333333333333,0.0
2024-01-10 07:00:00,0.0,0.04,0.0
2024-01-10 07:15:00,0.0,0.04,0.0
2024-01-10 07:30:00,0.0,0.04,0.0
