,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-08 15:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 16:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 16:15:00,0.001,0.001,0.0,0.14433333333333334,2.933333333333333,0.0
2024-01-08 16:30:00,0.001,0.001,0.0,0.195,11.0,0.0
2024-01-08 16:45:00,0.001,0.001,0.0,0.043,11.0,0.0
2024-01-08 17:00:00,0.001,0.001,0.0,0.043,11.0,0.0
2024-01-08 17:15:00,0.001,0.001,0.0,0.043,11.0,2.2
2024-01-08 17:30:00,0.001,0.001,0.0,0.11900000000000001,2.2,0.4
2024-01-08 17:45:00,0.001,0.001,0.0,0.22033333333333335,0.0,0.0
2024-01-08 18:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 18:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 18:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 18:45:00,0.001,0.001,0.0,0.09366666666666666,0.0,0.0
2024-01-08 19:00:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 19:15:00,0.001,0.001,0.0,0.05566666666666666,0.0,0.0
2024-01-08 19:30:00,0.001,0.001,0.0,0.043,0.0,2.0
2024-01-08 19:45:00,0.001,0.001,0.0,0.043,0.0,0.6
2024-01-08 20:00:00,0.001,0.001,0.0,0.06833333333333333,0.0,0.0
2024-01-08 20:15:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 20:30:00,0.001,0.001,0.0,0.081,0.0,0.0
2024-01-08 20:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 21:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 21:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 21:30:00,0.001,0.001,0.0,0.233,0.0,0.0
2024-01-08 21:45:00,0.001,0.001,0.0,0.10633333333333334,0.0,1.0
2024-01-08 22:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 22:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 22:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 22:45:00,0.001,0.001,0.0,0.2076666666666667,0.0,1.4
2024-01-08 23:00:00,0.001,0.001,0.0,0.13166666666666668,0.0,1.0
2024-01-08 23:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 23:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-08 23:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 00:00:00,0.001,0.001,0.0,0.18233333333333335,0.0,0.0
2024-01-09 00:15:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-09 00:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 00:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 01:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 01:15:00,0.001,0.001,0.0,0.157,0.0,0.0
2024-01-09 01:30:00,0.001,0.001,0.0,0.18233333333333335,0.0,0.0
2024-01-09 01:45:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 02:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 02:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 02:30:00,0.001,0.001,0.0,0.13166666666666668,0.0,0.0
2024-01-09 02:45:00,0.001,0.001,0.0,0.2076666666666667,0.0,0.0
2024-01-09 03:00:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 03:15:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 03:30:00,0.001,0.001,0.0,0.043,0.0,0.0
2024-01-09 03:45:00,0.001,0.001,0.0,0.10633333333333334,0.0,0.0
2024-01-09 04:00:00,0.001,0.001,0.0,0.233,0.0,0.2
2024-01-09 04:15:00,0.001,0.001,0.0,0.043,0.0,3.0
2024-01-09 04:30:00,0.001,0.001,0.0,0.043,0.0,2.2
2024-01-09 04:45:00,0.001,0.001,0.0,0.043,0.0,0.0
