,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-11 14:15:00,0.001,0.0,0.001,0.3745237423726735,0.0
2024-01-11 14:30:00,0.001,0.0,0.001,0.3305237423726735,0.0
2024-01-11 14:45:00,0.001,0.0,0.001,0.7225237423726736,0.0
2024-01-11 15:00:00,0.001,0.0,0.001,0.30727649898302306,0.0
2024-01-11 15:15:00,0.001,0.0,0.001,0.3042333333333333,0.0
2024-01-11 15:30:00,0.001,0.0,0.001,0.2504059959320925,0.0
2024-01-11 15:45:00,0.001,0.0,0.001,0.3238341818432564,1.2
2024-01-11 16:00:00,0.001,0.0,0.001,0.3490759397255878,1.8
2024-01-11 16:15:00,0.001,0.0,0.001,0.4700759397255878,0.0
2024-01-11 16:30:00,0.001,0.0,0.001,0.5580759397255879,0.0
2024-01-11 16:45:00,0.001,0.30033333333333334,0.001,0.5055150276353171,0.0
2024-01-11 17:00:00,0.001,2.25,0.001,0.3372521973529144,0.0
2024-01-11 17:15:00,0.001,0.9006000000000001,0.001,0.3113776920980266,0.0
2024-01-11 17:30:00,0.05373565240384421,1.2004666666666668,0.001,0.049,0.0
2024-01-11 17:45:00,0.7920347860576631,0.0005333333333333334,0.001,0.12966666666666668,0.0
2024-01-11 18:00:00,0.7920347860576631,0.0,0.001,0.2482666666666667,0.0
2024-01-11 18:15:00,0.7920347860576631,0.0,0.001,0.44880000000000003,0.0
2024-01-11 18:30:00,0.7920347860576631,0.0,0.001,0.049,0.0
2024-01-11 18:45:00,0.7920347860576631,0.0,0.001,0.049,0.0
2024-01-11 19:00:00,0.7920347860576631,0.0,0.001,0.17880000000000001,0.0
2024-01-11 19:15:00,0.7920347860576631,0.0,0.001,0.24333333333333335,0.0
2024-01-11 19:30:00,0.7920347860576631,0.0,0.001,0.28040000000000004,0.0
2024-01-11 19:45:00,0.7920347860576631,0.0,0.001,0.19208,0.0
2024-01-11 20:00:00,0.7920347860576631,0.0,0.001,0.23624,0.0
2024-01-11 20:15:00,0.7920347860576631,0.0,0.001,0.3247333333333334,0.4
2024-01-11 20:30:00,0.7920347860576631,0.0,0.001,0.2642510797739143,0.0
2024-01-11 20:45:00,0.21194260961537684,0.0,0.001,0.20916898007853257,0.0
2024-01-11 21:00:00,0.001,0.0,0.001,0.3547092730589212,2.0
2024-01-11 21:15:00,0.001,0.0,0.001,0.7341759397255879,1.0
2024-01-11 21:30:00,0.001,0.0,0.001,0.2714385286522939,0.0
2024-01-11 21:45:00,0.001,0.0,0.001,0.28955219735291426,0.0
2024-01-11 22:00:00,0.001,0.0,0.001,0.19313827805880382,0.0
2024-01-11 22:15:00,0.001,0.0,0.001,0.1562,0.0
2024-01-11 22:30:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-11 22:45:00,0.001,0.0,0.001,0.11333333333333333,0.0
2024-01-11 23:00:00,0.001,0.0,0.001,0.15733333333333333,0.0
2024-01-11 23:15:00,0.001,0.0,0.001,0.056799999999999996,0.0
