,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-03 06:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 06:15:00,0.001,0.0,0.001,0.05030599593209253,0.0,0.0
2024-01-03 06:30:00,0.001,0.0,0.001,0.40075707570600677,0.0,1.6666666666666667
2024-01-03 06:45:00,0.001,0.0,0.001,1.4922237423726734,0.0,5.0
2024-01-03 07:00:00,0.001,0.0,0.001,1.0654904090393402,0.0,5.0
2024-01-03 07:15:00,0.001,0.0,0.001,0.06882374237267351,0.0,5.0
2024-01-03 07:30:00,0.001,0.0,0.001,0.0640942454236041,1.6666666666666667,5.0
2024-01-03 07:45:00,0.001,0.0,0.001,0.057,1.3333333333333333,5.0
2024-01-03 08:00:00,0.001,0.0,0.001,0.22566666666666665,0.0,5.0
2024-01-03 08:15:00,0.001,0.0,0.001,0.7628,0.0,5.0
2024-01-03 08:30:00,0.001,0.0,0.001,0.317,0.0,5.0
2024-01-03 08:45:00,0.001,0.0,0.001,0.5648000000000001,0.0,2.3333333333333335
2024-01-03 09:00:00,0.001,0.0,0.001,0.165,0.0,2.3333333333333335
2024-01-03 09:15:00,0.001,0.0,0.001,0.10853333333333334,0.0,1.3333333333333333
2024-01-03 09:30:00,0.001,0.0,0.001,0.12466666666666666,0.0,0.0
2024-01-03 09:45:00,0.001,0.0,0.001,2.2611333333333334,0.0,0.0
2024-01-03 10:00:00,0.001,0.0,0.001,1.6227333333333334,0.0,2.3333333333333335
2024-01-03 10:15:00,0.001,0.0,0.001,0.5770666666666667,0.0,1.6666666666666667
2024-01-03 10:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 10:45:00,0.001,0.0,0.001,2.1231333333333335,3.0,0.0
2024-01-03 11:00:00,0.001,0.0,0.001,0.4502,0.0,0.0
2024-01-03 11:15:00,0.001,0.0,0.001,0.295,0.0,0.0
2024-01-03 11:30:00,0.001,0.0,0.001,0.18366666666666667,0.0,3.0
2024-01-03 11:45:00,0.001,0.0,0.001,0.057,0.0,0.0
2024-01-03 12:00:00,0.001,0.0,0.001,0.12466666666666668,0.0,0.0
2024-01-03 12:15:00,0.001,0.0,0.001,0.165,0.0,0.0
2024-01-03 12:30:00,0.001,0.0,0.001,0.7640666666666667,0.0,0.0
2024-01-03 12:45:00,0.001,0.0,0.001,0.42300000000000004,0.0,0.0
2024-01-03 13:00:00,0.001,0.0,0.001,0.27899999999999997,0.0,0.0
2024-01-03 13:15:00,0.001,0.0,0.001,0.07626666666666666,0.0,0.0
2024-01-03 13:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 13:45:00,0.001,0.0,0.001,0.044,2.3333333333333335,0.0
2024-01-03 14:00:00,0.001,0.0,0.001,0.107,0.6666666666666666,0.0
2024-01-03 14:15:00,0.001,0.0,0.001,0.33499999999999996,0.0,0.0
2024-01-03 14:30:00,0.001,0.0,0.001,0.15833333333333333,0.0,0.0
2024-01-03 14:45:00,0.001,0.0,0.001,0.45680000000000004,0.0,0.0
2024-01-03 15:00:00,0.001,0.0,0.001,0.584,0.0,2.6666666666666665
2024-01-03 15:15:00,0.001,0.0,0.001,0.044,0.0,4.666666666666667
2024-01-03 15:30:00,0.001,0.0,0.001,0.108,0.0,0.0
2024-01-03 15:45:00,0.001,0.0,0.001,0.3293333333333333,0.0,0.0
2024-01-03 16:00:00,0.001,0.0,0.001,0.13266666666666665,0.0,0.3333333333333333
2024-01-03 16:15:00,0.001,0.0,0.001,0.044,0.0,4.666666666666667
2024-01-03 16:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-03 16:45:00,0.001,0.0,0.001,0.044,1.3333333333333333,0.0
2024-01-03 17:00:00,0.001,0.0,0.001,0.11333333333333333,1.6666666666666667,0.0
2024-01-03 17:15:00,0.001,0.0,0.001,0.3471840657843047,0.0,0.0
2024-01-03 17:30:00,0.001,0.0,0.001,0.1515521973529143,0.0,0.0
2024-01-03 17:45:00,0.001,0.0,0.001,0.07555219735291431,0.0,0.0
2024-01-03 18:00:00,0.001,0.0,0.001,0.12395219735291431,0.0,0.0
2024-01-03 18:15:00,0.001,0.0,0.001,0.19977509121566475,0.0,0.0
2024-01-03 18:30:00,0.001,0.0,0.001,1.3342666666666667,0.0,0.0
2024-01-03 18:45:00,0.001,0.0,0.001,1.726,0.0,4.666666666666667
2024-01-03 19:00:00,0.001,0.0,0.001,0.5741333333333334,0.0,0.0
2024-01-03 19:15:00,0.001,0.0,0.001,0.1370208789411657,0.0,3.3333333333333335
2024-01-03 19:30:00,0.001,0.0,0.001,0.608618864019581,0.0,0.0
2024-01-03 19:45:00,0.001,0.0,0.001,0.07555219735291431,1.0,0.0
2024-01-03 20:00:00,0.001,0.0,0.001,0.690195363002604,2.0,2.0
2024-01-03 20:15:00,0.001,0.0,0.001,0.38737593972558776,0.0,4.333333333333333
2024-01-03 20:30:00,0.001,0.0,0.001,0.12434114149031159,0.0,0.0
2024-01-03 20:45:00,0.001,0.0,0.001,0.11229040903934016,0.0,0.0
2024-01-03 21:00:00,0.001,0.0,0.001,0.5766237423726736,0.0,0.0
2024-01-03 21:15:00,0.001,0.0,0.001,0.17288249491511568,0.0,3.6666666666666665
2024-01-03 21:30:00,0.001,0.0,0.001,0.25033333333333335,0.0,2.3333333333333335
2024-01-03 21:45:00,0.001,0.0,0.001,0.4839313184117486,0.0,5.0
2024-01-03 22:00:00,1.4491974914579884,0.0,0.001,0.2531601114771388,0.0,5.0
2024-01-03 22:15:00,1.9244796209905488,0.0,0.001,0.1357759397255878,0.0,5.0
2024-01-03 22:30:00,1.97843492348752,0.0,0.001,0.4871759397255878,0.0,5.0
2024-01-03 22:45:00,1.653646877195888,0.0,0.001,0.20837593972558782,0.0,5.0
2024-01-03 23:00:00,0.03426666666666667,0.0,0.001,0.27169736868639544,0.0,5.0
2024-01-03 23:15:00,0.001,0.0,0.001,0.47051774644058103,0.0,5.0
2024-01-03 23:30:00,0.001,0.0,0.001,0.24178205086272,0.0,5.0
2024-01-03 23:45:00,0.001,0.0,0.001,0.19655219735291432,0.0,5.0
2024-01-04 00:00:00,0.001,0.0,0.001,0.09168553068624764,0.0,5.0
2024-01-04 00:15:00,0.001,0.0,0.001,0.07555219735291431,0.0,2.6666666666666665
2024-01-04 00:30:00,0.001,0.0,0.001,0.16313827805880385,0.0,0.0
2024-01-04 00:45:00,0.001,0.0,0.001,0.344,0.0,0.0
2024-01-04 01:00:00,0.001,0.0,0.001,0.08600000000000001,0.0,0.0
2024-01-04 01:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 01:30:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 01:45:00,0.001,0.0,0.001,0.044,0.0,1.6666666666666667
2024-01-04 02:00:00,0.001,0.0,0.001,0.14533333333333334,0.0,0.3333333333333333
2024-01-04 02:15:00,0.001,0.0,0.001,0.344,0.0,0.3333333333333333
2024-01-04 02:30:00,0.001,0.0,0.001,0.08066666666666666,0.0,4.0
2024-01-04 02:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 03:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 03:15:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 03:30:00,0.001,0.0,0.001,0.158,0.0,2.3333333333333335
2024-01-04 03:45:00,0.001,0.0,0.001,0.32399999999999995,0.0,0.0
2024-01-04 04:00:00,0.001,0.0,0.001,0.08800000000000001,0.0,0.0
2024-01-04 04:15:00,0.001,0.0,0.001,0.044,3.0,0.0
2024-01-04 04:30:00,0.001,0.0,0.001,0.4438000000000001,0.0,3.3333333333333335
2024-01-04 04:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 05:00:00,0.001,0.0,0.001,0.17066666666666666,0.6666666666666666,0.0
2024-01-04 05:15:00,0.001,0.0,0.001,0.7038,3.3333333333333335,0.0
2024-01-04 05:30:00,0.001,0.0,0.001,0.09533333333333333,0.0,0.0
2024-01-04 05:45:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 06:00:00,0.001,0.0,0.001,0.044,0.0,0.0
2024-01-04 06:15:00,0.001,0.0,0.001,0.044,0.0,2.3333333333333335
2024-01-04 06:30:00,0.001,0.0,0.001,0.18333333333333332,0.6666666666666666,5.0
2024-01-04 06:45:00,0.001,0.0,0.001,0.284,2.3333333333333335,0.0
2024-01-04 07:00:00,0.001,0.0,0.001,0.1044,0.0,0.0
2024-01-04 07:15:00,0.001,0.0,0.001,0.057,0.0,0.0
2024-01-04 07:30:00,0.001,0.0,0.001,0.057,0.0,0.0
2024-01-04 07:45:00,0.001,0.0,0.001,0.057,0.0,4.333333333333333
2024-01-04 08:00:00,0.001,0.0,0.001,0.2064,0.0,5.0
2024-01-04 08:15:00,0.001,0.0,0.001,0.264,0.0,5.0
2024-01-04 08:30:00,0.001,0.0,0.001,0.11,0.0,5.0
2024-01-04 08:45:00,0.001,0.0,0.001,0.054400000000000004,0.0,5.0
2024-01-04 09:00:00,0.001,0.0,0.001,0.057,1.3333333333333333,5.0
2024-01-04 09:15:00,0.001,0.0,0.001,0.19026666666666667,1.6666666666666667,5.0
2024-01-04 09:30:00,0.001,0.0,0.001,0.6214666666666666,0.0,5.0
2024-01-04 09:45:00,0.001,0.0,0.001,0.25093333333333334,0.0,5.0
2024-01-04 10:00:00,0.001,0.0,0.001,0.6504,0.0,5.0
2024-01-04 10:15:00,0.001,0.0,0.001,0.044,0.0,5.0
2024-01-04 10:30:00,0.001,0.0,0.001,0.044,0.0,5.0
