,WasherDryer,WashingMachine,BaseLoad
2024-01-05 01:45:00,0.001,0.001,0.38003333333333333
2024-01-05 02:00:00,0.001,0.001,0.34776666666666667
2024-01-05 02:15:00,0.001,0.001,0.07912882621449527
2024-01-05 02:30:00,0.001,0.001,0.0618237423726735
2024-01-05 02:45:00,0.001,0.001,0.0618237423726735
2024-01-05 03:00:00,0.001,0.001,0.0618237423726735
2024-01-05 03:15:00,0.001,0.001,0.15715707570600684
2024-01-05 03:30:00,0.001,0.001,0.11315707570600683
2024-01-05 03:45:00,0.001,0.001,0.05551774644058097
2024-01-05 04:00:00,0.001,0.001,0.05
2024-01-05 04:15:00,0.001,0.001,0.05
2024-01-05 04:30:00,0.001,0.001,0.05733333333333334
2024-01-05 04:45:00,0.001,0.001,0.16
2024-01-05 05:00:00,0.001,0.001,0.47913333333333336
2024-01-05 05:15:00,0.001,0.001,0.5830666666666667
2024-01-05 05:30:00,0.001,0.001,0.05
2024-01-05 05:45:00,0.001,0.001,0.05
2024-01-05 06:00:00,0.001,0.001,0.07933333333333333
2024-01-05 06:15:00,0.001,0.001,0.16
2024-01-05 06:30:00,0.001,0.001,0.05733333333333334
2024-01-05 06:45:00,0.001,0.001,0.05
2024-01-05 07:00:00,0.001,0.001,0.05
2024-01-05 07:15:00,0.001,0.001,0.05
2024-01-05 07:30:00,0.001,0.001,0.10133333333333333
2024-01-05 07:45:00,0.001,0.001,0.14533333333333334
2024-01-05 08:00:00,0.001,0.001,0.059533333333333334
2024-01-05 08:15:00,0.001,0.001,0.063
2024-01-05 08:30:00,0.001,0.001,0.063
2024-01-05 08:45:00,0.001,0.001,0.063
2024-01-05 09:00:00,0.001,0.001,0.13633333333333333
2024-01-05 09:15:00,0.001,0.001,0.12593333333333334
2024-01-05 09:30:00,0.001,0.001,0.0526
2024-01-05 09:45:00,0.1064713048076884,0.001,0.063
2024-01-05 10:00:00,0.7920347860576631,0.001,0.063
2024-01-05 10:15:00,0.7920347860576631,0.001,0.7064666666666667
2024-01-05 10:30:00,0.7920347860576631,0.001,0.15833333333333333
2024-01-05 10:45:00,0.7920347860576631,0.001,0.10393333333333334
2024-01-05 11:00:00,0.7920347860576631,0.001,0.063
2024-01-05 11:15:00,0.7920347860576631,0.001,0.063
2024-01-05 11:30:00,0.7920347860576631,0.001,0.063
2024-01-05 11:45:00,0.7920347860576631,0.001,0.1752
2024-01-05 12:00:00,0.7920347860576631,0.001,0.2827333333333334
2024-01-05 12:15:00,0.7920347860576631,0.001,0.5901726625987592
2024-01-05 12:30:00,0.7920347860576631,0.001,0.5833570757060068
2024-01-05 12:45:00,0.7920347860576631,0.001,0.3168237423726735
2024-01-05 13:00:00,0.5810921764422863,0.001,0.31162374237267354
